level,n_samples,var_violation_rate,expected_violation_rate,loss_auc
Overall,1155,0.05281385281385281,0.05,0.6842725519605742
Trader_3942,105,0.0380952380952381,0.05,0.7586805555555556
Trader_3943,105,0.047619047619047616,0.05,0.798076923076923
Trader_3946,105,0.02857142857142857,0.05,0.6674757281553397
Trader_3950,105,0.08571428571428572,0.05,0.7685185185185185
Trader_3951,105,0.02857142857142857,0.05,0.7893586005830904
Trader_3956,105,0.047619047619047616,0.05,0.6231778425655977
Trader_4003,105,0.02857142857142857,0.05,
Trader_4004,105,0.12380952380952381,0.05,0.8282828282828283
Trader_4396,105,0.10476190476190476,0.05,0.6274578651685393
Trader_5093,105,0.0,0.05,0.4501915708812261
Trader_5580,105,0.047619047619047616,0.05,0.73989898989899
